"ProductID";"PartNumber";"Description"
343;"hx4t55";"4"" golden strobe cycas to red w/golden trunk tail"
344;"hx4t56";"4"" silver crackling coconut w/crackling coconut trunk tail"
345;"hx4t57";"4"" blue sunflower to red w/crackling trunk tail"
346;"hx4t58";"4"" multicolor cycas w/golden trunk tail"
347;"hx4t59";"4"" dandelion to blue w/ trunk tail"
348;"hx5n01";"5"" multicolor hydrangea w/strobe pistil & ring"
349;"hx5n02";"5"" brocade crown SoS"
350;"hx5n03";"5"" saturn ring w/magic peony"
351;"hx5n04";"5"" gold strobe chrys to red w/green pistil"
352;"hx5n05";"5"" brocade crackling chrys w/crackling tail"
353;"hx5t01";"5"" blue brocade coconut"
354;"hx5t02";"5"" glittering willow w/silver strobe pistil"
355;"hx5t03";"5"" falling leaves shell of shells"
356;"hx5t04";"5"" blue peony w/flower crown pistil"
357;"hx5t05";"5"" golden strobe chrys w/green pistil"
358;"hx5t06";"5"" purple brocade coconut"
359;"hx5t07";"5"" crackling brocade crown"
360;"hx5t08";"5"" time rain willow"
361;"hx5t09";"5"" brocade coconut"
362;"hx5t10";"5"" gold spangle chrys to red w/green pistil"
363;"hx5t11";"5"" time rain crossette"
364;"hx5t12";"5"" multi flower w/lemon strobe pistil w/broacde ring"
365;"hx5t13";"5"" golden willow waterfall"
366;"hx5t14";"5"" red & green dahlia double rings w/white strobe pistil"
367;"hx5t15";"5"" silver wave to red"
368;"hx5t16";"5"" red to dark to green"
369;"hx5t17";"5"" red strobe shell of shells"
370;"hx5t18";"5"" silver crossette ring w/strobing pistil"
371;"hx5t19";"5"" multicolor peony"
372;"hx5t20";"5"" silver coconut with thousand reports"
373;"hx5t21";"5"" golden willow to blue horsetail"
374;"hx5t22";"5"" ring w/6 angled chrys"
375;"hx5t23";"5"" purple peony w/chrys pistil"
376;"hx5t24";"5"" red peony"
377;"hx5t25";"5"" crackling crossette"
378;"hx5t26";"5"" charcoal crossette"
379;"hx5t27";"5"" purple peony"
380;"hx5t28";"5"" glittering crossette"
381;"hx5t29";"5"" timerain crossette"
382;"hx5t30";"5"" multicolor meteors"
383;"hx5t32";"5"" red to white strobe coconut"
384;"hx5t33";"5"" golden spangle chrys to blue"
385;"hx5t34";"5"" half red half blue brocade ring"
386;"hx5t35";"5"" royal crown waterfall"
387;"hx5t36";"5"" multicolor cycas w/golden trunk tail"
388;"hx5t40";"5"" butterfly flower & red palm w/white strobe pist cylinder"
389;"hx5t42";"5"" multicolor hydrangea"
390;"hx5t43";"5"" changing snail pattern"
391;"hx6n01";"6"" gold coconut to red floret w/gold tail"
392;"hx6n02";"6"" crackling coconut to green floret w/gold tail"
393;"hx6t01";"6"" purple coconut crossette"
394;"hx6t03";"6"" brocade to blue to red w/purple flower wave pistil"
395;"hx6t04";"6"" golden strobe, shell of shells"
396;"hx6t05";"6"" golden coconut to lemon small flowers"
397;"hx6t06";"6"" glittering crossette"
398;"hx6t07";"6"" brocade coconut to purple w/green strobe pistil"
399;"hx6t08";"6"" green glittering willow"
400;"hx6t09";"6"" brocade coconut to blue w/red strobe pistil"
401;"hx6t10*";"6"" crackling crossette"
402;"hx6t12";"6"" red strobe, shell of shells"
403;"hx6t13";"6"" white wave"
404;"hx6t14";"6"" brocade crown, shell of shells"
405;"hx6t15";"6"" red to big silver chrys"
406;"hx6t16";"6"" green to big silver chrys"
407;"hx6t17";"6"" blue chrys, shell of shells"
408;"hx6t18";"6"" purple coconut crossette"
409;"hx6t19";"6"" red coconut crossette"
410;"hx6t20";"6"" green chrys w/coconut pistil"
411;"hx6t21";"6"" crackling coconut to purple small flowers"
412;"hx6t22";"6"" horse tail, shell of shells"
413;"hx6t23";"6"" blue peony w/flower crown pistil w/brocade trunk tail"
414;"hx6t30";"6"" silver strobe shell of shells"
415;"hx6t31";"6"" red small flowers shell of shells"
416;"hx6t32";"6"" blue small flowers shell of shells"
417;"hx6t33";"6"" multicolor small flowers shell of shells"
418;"hx8t10";"8"" sunglow ("
419;"hx8t11";"8"" dream ghost ("
420;"hxb10004";"ck fan 100s silver world (24s)"
421;"hxb11001";"ck fan 110s white strobe waterfall (22s)"
422;"hxb13001";"ck z 130s snow dance & red plum(red & sil gltr waterfalls-23s)"
423;"hxb15001";"ck fan 150s garden in the air (22s)"
424;"hxb18201";"ck z 182s purple & lemon crossettes (20s)"
425;"hxb8001";"ck fan 80s icing on the cake (24s)"
426;"hxckt01";"ck fan 100s deep red w/white glitter (24s)"
427;"hxnck01";"ck S 182s red,grn,lem,pur stars w/crossettes (22s)"
428;"hxnck03";"ck fan 100s white glittering & blue mines, red tiger tls (26s)"
429;"hxnck04";"ck fan 100s red & time rain mines (25s)"
430;"hxnck05";"ck fan 100s bl mines to bl stars w/time rain coco, sil fish(28s)"
431;"hxnck06";"ck fan 90s red mines & silver whirls (26s)"
432;"js3chn10";"3"" chain 10 ti salutes w/big silver tail (""silver flowers"")"
433;"js3chn13";"3"" chain 10 red, white, blue peonies & salutes w/big silver tail"
434;"js3chn15";"3"" chain 10 rainbow peonies w/big silver tails"
435;"js3chn2";"3"" chain 10 multicolor to crackling w/big brocade tail"
436;"js3chn3";"3"" chain 10 brcd crwn w/magenta pist & mag pe (5&5) w/big brcd tl"
437;"js3chn6";"3"" chain 10 brocade crown waterfallsl w/big brocade tail"
438;"js3chn8";"3"" chain 10 brocade crown w/red strobe pistil w/big brocade tail"
439;"js3chn9";"3"" chain 10 silver crown w/green strobe pistil w/big silver tails"
440;"js3Ngb";"3"" salute, dark - ground bomb, NO delay, no lift, short fuse"
441;"js3t01/hq3p03";"3"" salute dark, extra loud (no ti, no tail)"
442;"js3t02/hq3p02";"3"" salute ti, extra loud"
443;"js4n01";"4"" flower crown chrys to red"
444;"js4n02";"4"" purple strobe peony w/white strobe pistil"
445;"js4n04";"4"" goldwave ring w/red pistil"
446;"js4n06";"4"" red lantern"
447;"js4ngb";"4"" salute, ground bomb, dark (no ti), no delay, no lift"
448;"js5n01";"5"" purple strobe"
449;"js5n02";"5"" red gamboge to purple chrys w/blue pistil"
450;"js5n03";"5"" blue peony w/brocade chrys to green pistil"
451;"js5n04";"5"" green peony w/big red pistil"
452;"js6n01";"6"" blue chrys to brocade crown ring"
453;"js6n03";"6"" red peony w/big green pistil"
454;"js6n04";"6"" white peony w/big red pistil"
455;"js6n05";"6"" red gamboge to purple w/big blue pistil"
456;"js6n06";"6"" goldwave to green w/big white pistil"
457;"js6n08";"6"" chrys to blue w/big red pistil"
458;"jsckm01";"ck Z 150s American Thunder (ti slautes w/rwb tails) (57s)"
459;"jsckm02";"ck 100s American Thunder (1.5"" ti slautes w/rwb tails -fast) (22s)"
460;"jsckn01";"ck 2"" 36s alternate brocade crown & ti salutes 59 sec"
461;"jsckn02";"ck fan 100s blue mines & red tail to ti salutes fast finale-13 sec"
462;"jsckn03";"ck fan 280s red mines, ti salutes & silver whistles fast finale 9sec"
463;"jsm01";"cndl 2"" 1-shot silver strobe mine"
